entry_idx,entry_price,entry_time,direction,signal,lot_size,stop_loss,take_profit,confidence,exit_type,exit_price,exit_time,exit_idx,pnl
657,96285.6225,2025-01-07 20:15:00,SELL,-1,1.2,96285.63249999999,96285.5925,66.66666666666666,TP,96237.43,2025-01-07 20:30:00,658,359.99999998603016
658,96237.43,2025-01-07 20:30:00,BUY,1,1.2,96237.42,96237.45999999999,100.0,TP,96369.5625,2025-01-07 20:45:00,659,359.99999998603016
661,96848.8725,2025-01-07 21:15:00,BUY,1,1.2,96848.8625,96848.9025,66.66666666666666,SL,96717.0075,2025-01-07 21:30:00,662,-119.99999993713573
666,97006.825,2025-01-07 22:30:00,BUY,1,1.2,97006.815,97006.855,66.66666666666666,TP,97093.4825,2025-01-07 22:45:00,667,359.99999998603016
667,97093.4825,2025-01-07 22:45:00,SELL,-1,1.2,97093.4925,97093.4525,100.0,TP,96996.14,2025-01-07 23:00:00,668,359.99999998603016
675,97175.87,2025-01-08 00:45:00,SELL,-1,1.2,97175.87999999999,97175.84,66.66666666666666,TP,97086.17,2025-01-08 01:00:00,676,359.99999998603016
678,96909.405,2025-01-08 01:30:00,BUY,1,1.2,96909.395,96909.435,66.66666666666666,SL,96811.1525,2025-01-08 01:45:00,679,-119.99999993713573
679,96811.1525,2025-01-08 01:45:00,BUY,1,1.2,96811.1425,96811.1825,100.0,TP,96940.1525,2025-01-08 02:00:00,680,359.99999998603016
682,97041.53250000002,2025-01-08 02:30:00,SELL,-1,1.2,97041.54250000001,97041.50250000002,100.0,TP,96958.43,2025-01-08 02:45:00,683,359.99999998603016
685,96666.11,2025-01-08 03:15:00,BUY,1,1.2,96666.1,96666.14,66.66666666666666,SL,96567.6325,2025-01-08 03:30:00,686,-119.99999993713573
686,96567.6325,2025-01-08 03:30:00,BUY,1,1.2,96567.62250000001,96567.6625,66.66666666666666,SL,96447.54750000002,2025-01-08 03:45:00,687,-119.99999993713573
687,96447.54750000002,2025-01-08 03:45:00,BUY,1,1.2,96447.53750000002,96447.57750000001,100.0,TP,96515.975,2025-01-08 04:00:00,688,359.99999998603016
691,96240.9825,2025-01-08 04:45:00,BUY,1,1.2,96240.9725,96241.0125,66.66666666666666,TP,96254.6975,2025-01-08 05:00:00,692,359.99999998603016
694,96609.825,2025-01-08 05:30:00,SELL,-1,1.2,96609.83499999999,96609.795,66.66666666666666,TP,96550.12,2025-01-08 05:45:00,695,359.99999998603016
699,95528.47,2025-01-08 06:45:00,BUY,1,1.2,95528.46,95528.5,66.66666666666666,SL,95456.6675,2025-01-08 07:00:00,700,-119.99999993713573
700,95456.6675,2025-01-08 07:00:00,BUY,1,1.2,95456.6575,95456.6975,100.0,TP,95524.8825,2025-01-08 07:15:00,701,359.99999998603016
705,95764.285,2025-01-08 08:15:00,SELL,-1,1.2,95764.295,95764.255,66.66666666666666,SL,95953.2425,2025-01-08 08:30:00,706,-119.99999993713573
706,95953.2425,2025-01-08 08:30:00,BUY,1,1.2,95953.2325,95953.27249999999,66.66666666666666,TP,96022.8075,2025-01-08 08:45:00,707,359.99999998603016
707,96022.8075,2025-01-08 08:45:00,SELL,-1,1.2,96022.81749999999,96022.7775,66.66666666666666,TP,95986.76499999998,2025-01-08 09:00:00,708,359.99999998603016
710,95835.215,2025-01-08 09:30:00,SELL,-1,1.2,95835.22499999999,95835.185,66.66666666666666,TP,95594.785,2025-01-08 09:45:00,711,359.99999998603016
711,95594.785,2025-01-08 09:45:00,BUY,1,1.2,95594.77500000001,95594.815,66.66666666666666,SL,95508.4175,2025-01-08 10:00:00,712,-119.99999993713573
712,95508.4175,2025-01-08 10:00:00,BUY,1,1.2,95508.4075,95508.4475,100.0,TP,95658.485,2025-01-08 10:15:00,713,359.99999998603016
715,95813.3575,2025-01-08 10:45:00,BUY,1,1.2,95813.3475,95813.3875,66.66666666666666,TP,95839.4825,2025-01-08 11:00:00,716,359.99999998603016
