entry_idx,entry_price,entry_time,entry_bar_time,direction,signal,lot_size,stop_loss,take_profit,tp_pips,cluster_density,confidence,open_bars,exit_idx,exit_price,exit_type,exit_time,pnl,days_open,bars_open
1377,97368.335,2025-01-15 08:15:00,2025-01-15 08:15:00,SELL,-1,1.2,97368.345,97368.28611111111,488.88888888888886,0.7222222222222222,100,0,1393,96589.8675,TP,2025-01-15 12:15:00,586.6666667279787,0,16
1440,100505.97,2025-01-16 00:00:00,2025-01-16 00:00:00,SELL,-1,1.2,100505.98,100505.9211111111,488.88888888888886,0.7222222222222222,100,0,1456,99553.485,TP,2025-01-16 04:00:00,586.6666667279787,0,16
1456,99553.485,2025-01-16 04:00:00,2025-01-16 04:00:00,BUY,1,1.2,99553.475,99553.5338888889,488.88888888888886,0.7222222222222222,100,0,1472,99783.2925,TP,2025-01-16 08:00:00,586.6666667279787,0,16
1472,99783.2925,2025-01-16 08:00:00,2025-01-16 08:00:00,SELL,-1,1.2,99783.30249999999,99783.2436111111,488.88888888888886,0.7222222222222222,100,0,1488,99114.41999999998,TP,2025-01-16 12:00:00,586.6666667279787,0,16
1536,100135.7775,2025-01-17 00:00:00,2025-01-17 00:00:00,BUY,1,1.2,100135.7675,100135.82638888889,488.88888888888886,0.7222222222222222,100,0,1552,101009.4575,TP,2025-01-17 04:00:00,586.6666667279787,0,16
1552,101009.4575,2025-01-17 04:00:00,2025-01-17 04:00:00,BUY,1,1.2,101009.44750000001,101009.5063888889,488.88888888888886,0.7222222222222222,100,0,1568,101560.93,TP,2025-01-17 08:00:00,586.6666667279787,0,16
1568,101560.93,2025-01-17 08:00:00,2025-01-17 08:00:00,BUY,1,1.2,101560.92,101560.97888888889,488.88888888888886,0.7222222222222222,100,0,1584,102326.23750000002,TP,2025-01-17 12:00:00,586.6666667279787,0,16
1632,104237.975,2025-01-18 00:00:00,2025-01-18 00:00:00,BUY,1,1.2,104237.96500000001,104238.0238888889,488.88888888888886,0.7222222222222222,100,0,1648,104237.96500000001,SL,2025-01-18 04:00:00,-119.99999993713573,0,16
1649,103119.7175,2025-01-18 04:15:00,2025-01-18 04:15:00,SELL,-1,1.2,103119.7275,103119.6686111111,488.88888888888886,0.7222222222222222,100,0,1665,102531.8425,TP,2025-01-18 08:15:00,586.6666667279787,0,16
1665,102531.8425,2025-01-18 08:15:00,2025-01-18 08:15:00,BUY,1,1.2,102531.8325,102531.8913888889,488.88888888888886,0.7222222222222222,100,0,1681,103664.02,TP,2025-01-18 12:15:00,586.6666667279787,0,16
1729,104206.72,2025-01-19 00:15:00,2025-01-19 00:15:00,BUY,1,1.2,104206.71,104206.7688888889,488.88888888888886,0.7222222222222222,100,0,1745,104963.0,TP,2025-01-19 04:15:00,586.6666667279787,0,16
1745,104963.0,2025-01-19 04:15:00,2025-01-19 04:15:00,BUY,1,1.2,104962.99,104963.0488888889,488.88888888888886,0.7222222222222222,100,0,1761,104962.99,SL,2025-01-19 08:15:00,-119.99999993713573,0,16
1762,104614.425,2025-01-19 08:30:00,2025-01-19 08:30:00,BUY,1,1.2,104614.41500000001,104614.4738888889,488.88888888888886,0.7222222222222222,100,0,1778,104614.41500000001,SL,2025-01-19 12:30:00,-119.99999993713573,0,16
1824,101115.7125,2025-01-20 00:00:00,2025-01-20 00:00:00,BUY,1,1.2,101115.7025,101115.76138888889,488.88888888888886,0.7222222222222222,100,0,1840,101619.9375,TP,2025-01-20 04:00:00,586.6666667279787,0,16
1840,101619.9375,2025-01-20 04:00:00,2025-01-20 04:00:00,BUY,1,1.2,101619.9275,101619.9863888889,488.88888888888886,0.7222222222222222,100,0,1856,107442.9375,TP,2025-01-20 08:00:00,586.6666667279787,0,16
1858,108027.12,2025-01-20 08:30:00,2025-01-20 08:30:00,SELL,-1,1.2,108027.12999999999,108027.0711111111,488.88888888888886,0.7222222222222222,100,0,1874,106457.4575,TP,2025-01-20 12:30:00,586.6666667279787,0,16
1921,102015.2275,2025-01-21 00:15:00,2025-01-21 00:15:00,BUY,1,1.2,102015.2175,102015.27638888889,488.88888888888886,0.7222222222222222,100,0,1937,102614.0725,TP,2025-01-21 04:15:00,586.6666667279787,0,16
1937,102614.0725,2025-01-21 04:15:00,2025-01-21 04:15:00,BUY,1,1.2,102614.0625,102614.12138888889,488.88888888888886,0.7222222222222222,100,0,1953,102614.0625,SL,2025-01-21 08:15:00,-119.99999993713573,0,16
1953,102183.5075,2025-01-21 08:15:00,2025-01-21 08:15:00,BUY,1,1.2,102183.49750000001,102183.5563888889,488.88888888888886,0.7222222222222222,100,0,1969,104250.4075,TP,2025-01-21 12:15:00,586.6666667279787,0,16
2016,106075.4525,2025-01-22 00:00:00,2025-01-22 00:00:00,SELL,-1,1.2,106075.4625,106075.4036111111,488.88888888888886,0.7222222222222222,100,0,2032,105711.08000000002,TP,2025-01-22 04:00:00,586.6666667279787,0,16
2032,105711.08000000002,2025-01-22 04:00:00,2025-01-22 04:00:00,SELL,-1,1.2,105711.09000000001,105711.03111111112,488.88888888888886,0.7222222222222222,100,0,2048,105036.53,TP,2025-01-22 08:00:00,586.6666667279787,0,16
2048,105036.53,2025-01-22 08:00:00,2025-01-22 08:00:00,SELL,-1,1.2,105036.54,105036.4811111111,488.88888888888886,0.7222222222222222,100,0,2064,105036.54,SL,2025-01-22 12:00:00,-119.99999993713573,0,16
